Accession_number,sampling_date,collected_by,total_num_reads,num_reads_aligned_PF,avg_coverage_X,genomic_coordinates_0X_nt,genomic_coordinates_<10X_nt,genomic_coordinates_0X_pct,genomic_coordinates_<10X_pct,avg_read_quality,avg_read_quality_PF,avg_read_length,avg_read_length_PF,k2_hits_SC2,k2_hits_human,k2_hits_28384,k2_pct_SC2,k2_pct_human,k2_pct_28384,QC_determination,QC_issues
SRR18677375,2022-02-02,FDA Center for Food Safety and Applied Nutrition,1691614,133123,654X,481,2671,1,8,35.9,36.2,147,147,90566,22604,1350,10.71,2.67,0.16,not_performed,None
SRR18741648,2021-10-25,FDA Center for Food Safety and Applied Nutrition,5605550,3116433,14798X,5703,6281,19,21,36.4,36.9,143,142,1668145,145,67,59.52,0.01,0.00,not_performed,None
SRR18741649,2021-10-25,FDA Center for Food Safety and Applied Nutrition,6445824,2602817,12447X,18660,19383,62,64,36.6,37.0,143,143,1385674,318,34,42.99,0.01,0.00,not_performed,None
SRR18741650,2021-09-20,FDA Center for Food Safety and Applied Nutrition,5182610,748850,3556X,25498,26626,85,89,37.4,37.5,142,142,382107,466,39,14.75,0.02,0.00,not_performed,None
SRR18741651,2021-09-20,FDA Center for Food Safety and Applied Nutrition,5645158,4382,20X,28086,28768,93,96,35.8,36.8,143,142,2524,569,62,0.09,0.02,0.00,not_performed,None
SRR18748123,2022-02-02,Yuma Center of Excellence for Desert Agriculture,400302,45741,230X,136,271,0,0,37.8,37.9,151,151,23361,326,111115,11.67,0.16,55.52,not_performed,None
SRR18748124,2022-02-02,Yuma Center of Excellence for Desert Agriculture,396056,17927,90X,202,1101,0,3,37.9,37.9,151,151,9385,958,93200,4.74,0.48,47.06,not_performed,None
SRR18748125,2022-02-02,Yuma Center of Excellence for Desert Agriculture,403698,22185,112X,62,301,0,1,37.8,37.9,151,151,11578,1223,120160,5.74,0.61,59.53,not_performed,None
SRR18748126,2022-02-02,Yuma Center of Excellence for Desert Agriculture,383536,181047,914X,62,206,0,0,37.8,37.9,151,151,92196,578,89399,48.08,0.30,46.62,not_performed,None
SRR18748127,2022-02-02,Yuma Center of Excellence for Desert Agriculture,472502,22144,111X,166,475,0,1,37.9,37.9,151,151,11390,1176,112768,4.82,0.50,47.73,not_performed,None
SRR18748128,2022-02-02,Yuma Center of Excellence for Desert Agriculture,413472,41837,211X,61,261,0,0,37.9,37.9,151,151,21530,5485,107083,10.41,2.65,51.80,not_performed,None
SRR18748129,2022-02-02,Yuma Center of Excellence for Desert Agriculture,514956,202757,1023X,62,208,0,0,37.8,37.9,151,151,103178,3894,91768,40.07,1.51,35.64,not_performed,None
SRR18748130,2022-02-09,Yuma Center of Excellence for Desert Agriculture,560924,15222,76X,228,1395,0,4,37.8,37.9,151,151,8340,4525,245825,2.97,1.61,87.65,not_performed,None
SRR18748131,2022-02-09,Yuma Center of Excellence for Desert Agriculture,480240,27216,137X,62,332,0,1,37.8,37.9,151,151,14435,5648,186577,6.01,2.35,77.70,not_performed,None
SRR18748132,2022-02-09,Yuma Center of Excellence for Desert Agriculture,348696,12253,61X,225,1432,0,4,37.8,37.9,151,151,6410,560,125154,3.68,0.32,71.78,not_performed,None
SRR18748133,2022-02-09,Yuma Center of Excellence for Desert Agriculture,298914,12458,62X,99,1351,0,4,37.8,37.9,151,151,6534,2419,65133,4.37,1.62,43.58,not_performed,None
SRR18748134,2022-02-02,Yuma Center of Excellence for Desert Agriculture,408720,108131,546X,62,220,0,0,37.8,37.8,151,151,55468,4754,98265,27.14,2.33,48.08,not_performed,None
SRR18748135,2022-02-09,Yuma Center of Excellence for Desert Agriculture,420136,6760,34X,570,5221,1,17,37.8,37.9,151,151,3894,5177,119966,1.85,2.46,57.11,not_performed,None
SRR18748136,2022-02-09,Yuma Center of Excellence for Desert Agriculture,468806,15277,77X,170,1233,0,4,37.8,37.9,151,151,8182,2589,205073,3.49,1.10,87.49,not_performed,None
SRR18748137,2022-02-09,Yuma Center of Excellence for Desert Agriculture,412604,1801,9X,5549,20128,18,67,37.8,37.9,151,151,982,466,83750,0.48,0.23,40.60,not_performed,None
SRR18748138,2022-02-09,Yuma Center of Excellence for Desert Agriculture,332502,11045,55X,197,1214,0,4,37.8,37.9,151,151,5726,1445,56592,3.44,0.87,34.04,not_performed,None
SRR18748139,2022-02-09,Yuma Center of Excellence for Desert Agriculture,399396,2491,12X,4242,17285,14,57,37.9,37.9,151,151,1518,3128,147144,0.76,1.57,73.68,not_performed,None
SRR18748140,2022-02-09,Yuma Center of Excellence for Desert Agriculture,430850,24344,122X,62,381,0,1,37.8,37.8,151,151,12718,3345,155638,5.90,1.55,72.25,not_performed,None
SRR18748141,2022-02-09,Yuma Center of Excellence for Desert Agriculture,398090,6523,32X,403,4248,1,14,37.8,37.9,151,151,3531,2483,95871,1.77,1.25,48.17,not_performed,None
SRR18748142,2022-02-09,Yuma Center of Excellence for Desert Agriculture,195840,2482,12X,1323,15079,4,50,37.8,37.9,151,151,1289,337,50668,1.32,0.34,51.74,not_performed,None
SRR18748143,2022-02-02,Yuma Center of Excellence for Desert Agriculture,729796,340305,1718X,62,163,0,0,37.8,37.9,151,151,173176,884,149789,47.46,0.24,41.05,not_performed,None
SRR18748144,2022-02-02,Yuma Center of Excellence for Desert Agriculture,438862,105710,533X,62,219,0,0,37.8,37.9,151,151,53937,964,119842,24.58,0.44,54.61,not_performed,None
SRR18748145,2022-02-02,Yuma Center of Excellence for Desert Agriculture,694278,164464,830X,62,217,0,0,37.9,37.9,151,151,84183,9237,152236,24.25,2.66,43.85,not_performed,None
SRR18748146,2022-02-02,Yuma Center of Excellence for Desert Agriculture,474026,54384,274X,62,246,0,0,37.9,37.9,151,151,27752,1405,118044,11.71,0.59,49.80,not_performed,None
SRR18762788,2022-03-25,Washington State Department of Health,606950,542318,2702X,67,111,0,0,37.9,38.0,149,149,278240,4822,13266,91.68,1.59,4.37,not_performed,None
SRR18762789,2022-03-23,Washington State Department of Health,530752,403455,2010X,841,1102,2,3,38.0,38.1,149,149,206702,2699,34934,77.89,1.02,13.16,not_performed,None
SRR18762790,2022-03-22,Washington State Department of Health,902814,792676,3949X,61,137,0,0,38.2,38.3,149,149,406709,9542,17491,90.10,2.11,3.87,not_performed,None
SRR18762791,2022-03-25,Washington State Department of Health,268380,201769,1005X,1387,1648,4,5,38.2,38.2,149,149,105014,3562,6466,78.26,2.65,4.82,not_performed,None
SRR18762792,2022-03-25,Washington State Department of Health,515880,440395,2194X,139,216,0,0,38.2,38.3,149,149,226817,12007,11144,87.93,4.65,4.32,not_performed,None
SRR18762793,2022-03-25,Washington State Department of Health,202510,141674,705X,3988,5027,13,16,38.1,38.2,149,149,74234,3701,12949,73.31,3.66,12.79,not_performed,None
SRR18762794,2022-03-25,Washington State Department of Health,330580,243497,1213X,2034,2331,6,7,38.1,38.2,149,149,126860,6364,13285,76.75,3.85,8.04,not_performed,None
SRR18762795,2022-03-23,Washington State Department of Health,980670,843264,4201X,356,519,1,1,38.2,38.2,149,149,431625,12862,30077,88.03,2.62,6.13,not_performed,None
SRR18762796,2022-03-23,Washington State Department of Health,376322,280604,1398X,2794,3395,9,11,38.2,38.3,149,149,146504,5860,6461,77.86,3.11,3.43,not_performed,None
SRR18762797,2022-03-23,Washington State Department of Health,487900,381565,1901X,951,1195,3,3,38.2,38.2,149,149,196357,8365,33485,80.49,3.43,13.73,not_performed,None
SRR18762798,2022-03-23,Washington State Department of Health,1161578,1027364,5119X,76,143,0,0,38.2,38.2,149,149,524706,5323,36796,90.34,0.92,6.34,not_performed,None
SRR18762799,2022-03-28,Washington State Department of Health,1048430,851749,4244X,718,876,2,2,38.1,38.2,149,149,440269,22152,39702,83.99,4.23,7.57,not_performed,None
SRR18762800,2022-03-28,Washington State Department of Health,561764,466758,2325X,180,275,0,0,38.2,38.2,149,149,240138,5808,22967,85.49,2.07,8.18,not_performed,None
SRR18762801,2022-03-28,Washington State Department of Health,338138,270634,1348X,397,608,1,2,38.2,38.2,149,149,140410,6187,8968,83.05,3.66,5.30,not_performed,None
SRR18762802,2022-03-28,Washington State Department of Health,453152,322836,1608X,2947,3351,9,11,38.2,38.2,149,149,165728,5182,32128,73.14,2.29,14.18,not_performed,None
SRR18762803,2022-03-28,Washington State Department of Health,859382,756809,3771X,66,133,0,0,38.2,38.3,149,149,384386,4244,37093,89.46,0.99,8.63,not_performed,None
SRR18762804,2022-03-24,Washington State Department of Health,365568,297822,1483X,588,974,1,3,38.0,38.1,149,149,153147,3725,5445,83.79,2.04,2.98,not_performed,None
SRR18769653,2022-02-09,FDA Center for Food Safety and Applied Nutrition,319845,270222,5792X,8,82,0,0,18.6,18.6,641,641,267341,2266,0,83.58,0.71,0.00,not_performed,None
SRR18769670,2022-02-09,FDA Center for Food Safety and Applied Nutrition,185861,146059,3106X,4,833,0,2,18.6,18.6,636,636,144402,1597,0,77.69,0.86,0.00,not_performed,None
SRR18769676,2022-02-09,FDA Center for Food Safety and Applied Nutrition,210857,131673,2831X,9,84,0,0,18.8,18.8,643,643,130488,3283,0,61.88,1.56,0.00,not_performed,None
SRR18769677,2022-02-09,FDA Center for Food Safety and Applied Nutrition,233566,180624,3883X,11,84,0,0,18.7,18.7,643,643,178791,2286,0,76.55,0.98,0.00,not_performed,None
SRR18769678,2022-02-09,FDA Center for Food Safety and Applied Nutrition,410102,354887,7607X,9,81,0,0,18.5,18.5,641,641,351685,2177,0,85.76,0.53,0.00,not_performed,None
SRR18769751,2022-01-28,FDA Center for Food Safety and Applied Nutrition,208358,123423,2649X,8,13,0,0,19.4,19.4,642,642,121420,5221,0,58.27,2.51,0.00,not_performed,None
SRR18769752,2022-01-28,FDA Center for Food Safety and Applied Nutrition,276419,220528,4904X,6,331,0,1,19.2,19.2,665,665,218197,3020,0,78.94,1.09,0.00,not_performed,None
SRR18769754,2022-01-28,FDA Center for Food Safety and Applied Nutrition,199329,130387,2777X,9,211,0,0,19.3,19.3,637,637,128773,2366,0,64.60,1.19,0.00,not_performed,None
SRR18769755,2022-01-28,FDA Center for Food Safety and Applied Nutrition,214096,158190,3406X,3,77,0,0,19.1,19.1,644,644,156176,2235,0,72.95,1.04,0.00,not_performed,None
SRR18769756,2022-02-09,FDA Center for Food Safety and Applied Nutrition,372526,341224,7337X,6,76,0,0,18.7,18.7,643,643,337419,1918,0,90.58,0.51,0.00,not_performed,None
SRR18769768,2022-01-28,FDA Center for Food Safety and Applied Nutrition,155937,98759,2110X,11,280,0,0,19.4,19.4,639,639,97449,2081,0,62.49,1.33,0.00,not_performed,None
SRR18769914,2022-01-31,FDA Center for Food Safety and Applied Nutrition,3625500,3146854,15574X,1436,2822,4,9,36.9,37.0,148,148,1626342,711,1770,89.72,0.04,0.10,not_performed,None
SRR18769915,2022-01-31,FDA Center for Food Safety and Applied Nutrition,1953190,1777843,8858X,560,2426,1,8,36.9,37.1,149,149,914237,274,78,93.61,0.03,0.01,not_performed,None
SRR18770096,2022-01-30,FDA Center for Food Safety and Applied Nutrition,1378868,1021115,5087X,227,1202,0,4,36.8,37.0,149,149,538073,597,375,78.05,0.09,0.05,not_performed,None
SRR18770097,2022-01-30,FDA Center for Food Safety and Applied Nutrition,1194666,1087912,5420X,131,493,0,1,36.9,37.1,149,149,560111,210,15,93.77,0.04,0.00,not_performed,None
SRR18770098,2022-01-30,FDA Center for Food Safety and Applied Nutrition,3488742,3181693,15747X,67,97,0,0,36.9,37.1,148,148,1624022,482,902,93.10,0.03,0.05,not_performed,None
SRR18770099,2022-01-30,FDA Center for Food Safety and Applied Nutrition,1586334,1509267,7520X,84,150,0,0,36.9,37.1,149,149,774290,126,122,97.62,0.02,0.02,not_performed,None
SRR18770100,2022-01-30,FDA Center for Food Safety and Applied Nutrition,879534,834681,4159X,67,186,0,0,36.9,37.1,149,149,427709,37,100,97.26,0.01,0.02,not_performed,None
SRR18770101,2022-01-30,FDA Center for Food Safety and Applied Nutrition,1372548,732115,3647X,361,2052,1,6,36.9,37.0,149,149,395257,1090,170,57.59,0.16,0.02,not_performed,None
SRR18771441,2022-04-05,FDA Center for Food Safety and Applied Nutrition,3713528,3459134,17236X,611,997,2,3,37.4,37.6,149,149,1795250,135,10,96.69,0.01,0.00,not_performed,None
SRR18771563,2022-04-05,FDA Center for Food Safety and Applied Nutrition,3655582,3327411,16579X,737,882,2,2,37.6,37.7,149,149,1708222,343,44,93.46,0.02,0.00,not_performed,None
SRR18855168,2022-04-05,FDA Center for Food Safety and Applied Nutrition,3976250,3610644,17991X,252,746,0,2,37.7,37.8,149,149,1847683,309,185,92.94,0.02,0.01,not_performed,None
SRR18855171,2022-04-05,FDA Center for Food Safety and Applied Nutrition,5464790,4992848,24878X,504,895,1,2,37.4,37.6,149,149,2585331,1445,61,94.62,0.05,0.00,not_performed,None
SRR18856311,2022-02-09,Pennsylvania State University|Dudley Lab,3098978,381892,3205X,10367,12784,34,42,36.0,36.5,251,251,213992,7960,82633,13.81,0.51,5.33,not_performed,None
SRR18856312,2022-02-07,Pennsylvania State University|Dudley Lab,3228740,1081665,9079X,9792,12583,32,42,35.4,36.1,251,251,619921,6579,93929,38.40,0.41,5.82,not_performed,None
SRR18856313,2022-01-26,Pennsylvania State University|Dudley Lab,3665094,454093,3811X,19016,20628,63,68,34.9,36.0,251,251,280811,10702,264815,15.32,0.58,14.45,not_performed,None
SRR18856314,2022-01-26,Pennsylvania State University|Dudley Lab,2047034,1144366,9605X,11136,13080,37,43,35.9,36.6,251,251,644995,1396,41019,63.02,0.14,4.01,not_performed,None
SRR18856315,2022-01-24,Pennsylvania State University|Dudley Lab,3969498,1241485,10420X,11091,13280,37,44,35.1,36.2,251,251,744465,2130,126974,37.51,0.11,6.40,not_performed,None
SRR18856316,2022-01-20,Pennsylvania State University|Dudley Lab,2139608,1520202,12760X,421,924,1,3,35.8,36.5,251,251,890465,1594,26763,83.24,0.15,2.50,not_performed,None
SRR18856317,2022-01-19,Pennsylvania State University|Dudley Lab,4719954,606412,5090X,7420,9492,24,31,33.9,35.8,251,251,435468,7766,249488,18.45,0.33,10.57,not_performed,None
SRR18856318,2022-01-17,Pennsylvania State University|Dudley Lab,3677640,1214184,10191X,1221,1792,4,5,35.8,36.5,251,251,741829,2285,198599,40.34,0.12,10.80,not_performed,None
SRR18856319,2022-02-09,Pennsylvania State University|Dudley Lab,3673752,415401,3486X,11696,13425,39,44,36.3,36.7,251,251,237183,20697,124398,12.91,1.13,6.77,not_performed,None
SRR18856320,2022-01-12,Pennsylvania State University|Dudley Lab,3596044,656281,5508X,353,424,1,1,36.3,36.7,251,251,381326,124691,60995,21.21,6.93,3.39,not_performed,None
SRR18856321,2022-01-10,Pennsylvania State University|Dudley Lab,2821720,1504487,12628X,278,336,0,1,36.1,36.6,251,251,880015,1299,105671,62.37,0.09,7.49,not_performed,None
SRR18862835,2022-04-11,Washington State Department of Health,2957570,2194195,10933X,67,67,0,0,38.0,38.1,149,149,1157146,20431,64554,78.25,1.38,4.37,not_performed,None
SRR18862836,2022-04-11,Washington State Department of Health,2259304,1612786,8036X,177,234,0,0,38.0,38.1,149,149,847473,17137,184809,75.02,1.52,16.36,not_performed,None
SRR18862837,2022-04-11,Washington State Department of Health,3015670,2498903,12451X,66,67,0,0,38.0,38.0,149,149,1295035,26362,155227,85.89,1.75,10.29,not_performed,None
SRR18862838,2022-04-11,Washington State Department of Health,3002872,2134574,10636X,129,194,0,0,38.0,38.1,149,149,1106567,14373,124836,73.70,0.96,8.31,not_performed,None
SRR18862839,2022-04-11,Washington State Department of Health,2299532,1775711,8847X,76,120,0,0,38.0,38.1,149,149,930435,19295,132900,80.92,1.68,11.56,not_performed,None
SRR18862840,2022-04-08,Washington State Department of Health,2918784,2255408,11238X,67,67,0,0,37.6,37.9,149,149,1191595,20116,192552,81.65,1.38,13.19,not_performed,None
SRR18862841,2022-04-08,Washington State Department of Health,2007716,1317511,6564X,313,580,1,1,38.0,38.1,149,149,705442,58796,66197,70.27,5.86,6.59,not_performed,None
SRR18862842,2022-04-08,Washington State Department of Health,2209040,1736078,8650X,67,67,0,0,38.0,38.0,149,149,892892,4740,195648,80.84,0.43,17.71,not_performed,None
SRR18862843,2022-04-08,Washington State Department of Health,2674762,1993984,9935X,122,155,0,0,37.9,38.0,149,149,1044377,12277,214186,78.09,0.92,16.02,not_performed,None
SRR18862844,2022-04-07,Washington State Department of Health,1978122,1291937,6437X,230,536,0,1,38.0,38.1,149,149,689728,27928,228440,69.74,2.82,23.10,not_performed,None
SRR18889410,2022-04-04,Nevada State Public Health Laboratory,2023214,952556,2357X,21384,21852,71,73,33.9,34.5,74,74,590448,3586,0,58.37,0.35,0.00,not_performed,None
SRR18889411,2022-04-01,Nevada State Public Health Laboratory,1070410,555643,1375X,20489,21807,68,72,33.7,34.4,74,74,337756,400,0,63.11,0.07,0.00,not_performed,None
SRR18889412,2022-03-30,Nevada State Public Health Laboratory,1851116,794777,1966X,17866,18581,59,62,33.8,34.4,74,74,477736,3005,0,51.62,0.32,0.00,not_performed,None
SRR18889413,2022-03-29,Nevada State Public Health Laboratory,2046808,1205778,2983X,22598,23301,75,77,34.0,34.6,74,74,715568,2554,0,69.92,0.25,0.00,not_performed,None
SRR18889414,2022-03-23,Nevada State Public Health Laboratory,2192618,1170033,2895X,20282,20619,67,68,34.1,34.6,74,74,691387,5794,0,63.06,0.53,0.00,not_performed,None
SRR18889415,2022-03-21,Nevada State Public Health Laboratory,2019960,897780,2221X,21298,21691,71,72,34.0,34.5,74,74,535263,2104,0,53.00,0.21,0.00,not_performed,None
SRR18889416,2022-03-18,Nevada State Public Health Laboratory,2545674,1855349,4591X,21505,22383,71,74,33.9,34.5,74,74,1135956,5233,0,89.25,0.41,0.00,not_performed,None
SRR18889417,2022-04-03,Nevada State Public Health Laboratory,2644994,874753,2164X,4929,5108,16,17,34.0,34.5,74,74,524678,1062,0,39.67,0.08,0.00,not_performed,None
SRR18889418,2022-04-02,Nevada State Public Health Laboratory,2151636,1336623,3307X,4850,5465,16,18,34.0,34.6,74,74,796645,764,0,74.05,0.07,0.00,not_performed,None
SRR18889419,2022-04-01,Nevada State Public Health Laboratory,2185616,1087841,2692X,4430,5066,14,16,34.0,34.5,74,74,649005,1509,1,59.39,0.14,0.00,not_performed,None
SRR18889420,2022-03-31,Nevada State Public Health Laboratory,2136842,923929,2286X,3804,4205,12,14,34.0,34.6,74,74,545777,799,0,51.08,0.07,0.00,not_performed,None
SRR18889421,2022-03-30,Nevada State Public Health Laboratory,2315726,1062241,2628X,6837,7113,22,23,33.9,34.5,74,74,634637,1032,0,54.81,0.09,0.00,not_performed,None
SRR18889422,2022-03-29,Nevada State Public Health Laboratory,1697836,688613,1704X,7788,8372,26,27,34.0,34.6,74,74,410824,739,0,48.39,0.09,0.00,not_performed,None
SRR18889423,2022-03-28,Nevada State Public Health Laboratory,2064688,1288574,3188X,5771,6175,19,20,34.0,34.5,74,74,765427,2966,0,74.14,0.29,0.00,not_performed,None
SRR18889424,2022-03-27,Nevada State Public Health Laboratory,2043808,827416,2047X,7445,8148,24,27,34.0,34.5,74,74,493322,512,0,48.27,0.05,0.00,not_performed,None
SRR18889425,2022-03-26,Nevada State Public Health Laboratory,1739966,930684,2303X,7524,8249,25,27,34.0,34.5,74,74,553712,1261,0,63.65,0.14,0.00,not_performed,None
SRR18889426,2022-03-25,Nevada State Public Health Laboratory,2438260,1522200,3766X,5923,6672,19,22,34.0,34.6,74,74,912821,1078,0,74.87,0.09,0.00,not_performed,None
SRR18889427,2022-03-16,Nevada State Public Health Laboratory,2581584,1395952,3454X,19851,20154,66,67,34.1,34.6,74,74,828653,1304,0,64.20,0.10,0.00,not_performed,None
SRR18889428,2022-03-24,Nevada State Public Health Laboratory,1862600,934612,2312X,5311,6089,17,20,34.0,34.5,74,74,559369,3006,0,60.06,0.32,0.00,not_performed,None
SRR18889429,2022-03-23,Nevada State Public Health Laboratory,1610466,594159,1470X,21330,22074,71,73,33.9,34.5,74,74,355045,1533,0,44.09,0.19,0.00,not_performed,None
SRR18889430,2022-03-18,Nevada State Public Health Laboratory,2183350,664549,1644X,18743,20103,62,67,34.0,34.6,74,74,394800,1024,0,36.16,0.09,0.00,not_performed,None
SRR18889431,2022-03-16,Nevada State Public Health Laboratory,1596188,1275022,3155X,22981,23647,76,79,33.9,34.5,74,74,766933,1409,0,96.10,0.18,0.00,not_performed,None
SRR18889432,2022-03-18,Nevada State Public Health Laboratory,3003132,1917572,4745X,18126,18561,60,62,34.0,34.5,74,74,1150844,12176,0,76.64,0.81,0.00,not_performed,None
SRR18889433,2022-03-15,Nevada State Public Health Laboratory,2996034,2224621,5505X,20482,21187,68,70,34.0,34.5,74,74,1329612,5236,1,88.76,0.35,0.00,not_performed,None
SRR18889434,2022-03-27,Nevada State Public Health Laboratory,1949490,439252,1087X,18431,19068,61,63,34.0,34.6,74,74,267044,1052,0,27.40,0.11,0.00,not_performed,None
SRR18889435,2022-03-14,Nevada State Public Health Laboratory,1691138,1124710,2783X,20220,20949,67,70,34.0,34.6,74,74,667931,392,0,78.99,0.05,0.00,not_performed,None
SRR18889436,2022-03-24,Nevada State Public Health Laboratory,2012284,487137,1205X,21689,21910,72,73,33.9,34.5,74,74,290474,765,0,28.87,0.08,0.00,not_performed,None
SRR18889437,2022-04-06,Nevada State Public Health Laboratory,1667360,676662,1674X,14078,14654,47,49,33.9,34.5,74,74,408280,1732,0,48.97,0.21,0.00,not_performed,None
SRR18889438,2022-03-14,Nevada State Public Health Laboratory,2582036,1111025,2749X,21651,21983,72,73,33.9,34.5,74,74,663444,2499,0,51.39,0.19,0.00,not_performed,None
SRR18889439,2022-03-11,Nevada State Public Health Laboratory,2276380,548246,1356X,23157,23317,77,77,33.9,34.5,74,74,331863,1856,0,29.16,0.16,0.00,not_performed,None
SRR18910147,2022-03-16,FDA Center for Food Safety and Applied Nutrition,343476,196284,4411X,18,554,0,1,19.0,19.0,672,672,193672,2431,0,56.39,0.71,0.00,not_performed,None
SRR18910148,2022-03-16,FDA Center for Food Safety and Applied Nutrition,344810,199154,4522X,85,1166,0,3,19.1,19.1,679,679,196899,2480,0,57.10,0.72,0.00,not_performed,None
SRR18910149,2022-03-16,FDA Center for Food Safety and Applied Nutrition,321719,158671,3571X,82,1776,0,5,19.4,19.4,673,673,156586,2521,0,48.67,0.78,0.00,not_performed,None
SRR18910150,2022-03-16,FDA Center for Food Safety and Applied Nutrition,427492,234986,5312X,10,1317,0,4,18.9,18.9,676,676,232257,2760,0,54.33,0.65,0.00,not_performed,None
SRR18910151,2022-03-16,FDA Center for Food Safety and Applied Nutrition,287626,146884,3340X,90,1749,0,5,18.8,18.8,680,680,145209,1929,0,50.49,0.67,0.00,not_performed,None
SRR18910152,2022-03-16,FDA Center for Food Safety and Applied Nutrition,325605,187527,4258X,77,1500,0,5,18.7,18.7,679,679,185382,2039,0,56.93,0.63,0.00,not_performed,None
SRR18970707,2022-03-22,FDA Center for Food Safety and Applied Nutrition,111726,12807,271X,1927,6068,6,20,18.6,18.6,633,633,12616,3142,0,11.29,2.81,0.00,not_performed,None
SRR18970806,2022-03-29,FDA Center for Food Safety and Applied Nutrition,83741,21497,447X,285,848,0,2,18.7,18.7,622,622,21140,2357,0,25.24,2.81,0.00,not_performed,None
SRR18970807,2022-03-22,FDA Center for Food Safety and Applied Nutrition,133295,12412,259X,667,4008,2,13,18.5,18.5,625,625,12214,2723,0,9.16,2.04,0.00,not_performed,None
SRR18970808,2022-03-29,FDA Center for Food Safety and Applied Nutrition,108043,42081,878X,18,87,0,0,19.4,19.4,624,624,41307,1708,0,38.23,1.58,0.00,not_performed,None
SRR18970809,2022-03-22,FDA Center for Food Safety and Applied Nutrition,93930,10597,208X,4225,8336,14,27,18.8,18.8,589,589,10405,2529,0,11.08,2.69,0.00,not_performed,None
SRR18970810,2022-01-27,FDA Center for Food Safety and Applied Nutrition,206437,160263,3322X,9,491,0,1,19.1,19.1,620,620,157626,2933,0,76.36,1.42,0.00,not_performed,None
SRR18970811,2022-03-29,FDA Center for Food Safety and Applied Nutrition,102740,31679,660X,239,536,0,1,19.2,19.2,623,623,31012,3113,0,30.18,3.03,0.00,not_performed,None
SRR18970812,2022-03-22,FDA Center for Food Safety and Applied Nutrition,144684,23748,473X,494,740,1,2,18.8,18.8,596,596,23378,4757,1,16.16,3.29,0.00,not_performed,None
SRR18970813,2022-03-22,FDA Center for Food Safety and Applied Nutrition,72647,13981,289X,678,2714,2,9,18.6,18.6,619,619,13784,2347,0,18.97,3.23,0.00,not_performed,None
SRR18970814,2022-01-27,FDA Center for Food Safety and Applied Nutrition,44530,16140,316X,1356,14772,4,49,18.9,18.9,587,587,15847,1416,0,35.59,3.18,0.00,not_performed,None
SRR18970815,2022-03-22,FDA Center for Food Safety and Applied Nutrition,93638,17391,365X,890,1751,2,5,18.6,18.6,629,629,17096,2971,0,18.26,3.17,0.00,not_performed,None
SRR18970816,2022-01-27,FDA Center for Food Safety and Applied Nutrition,91634,58825,1194X,327,6624,1,22,19.4,19.4,607,607,57870,2045,0,63.15,2.23,0.00,not_performed,None
SRR18970817,2022-03-29,FDA Center for Food Safety and Applied Nutrition,62662,16781,344X,342,1563,1,5,18.7,18.7,614,614,16498,1724,0,26.33,2.75,0.00,not_performed,None
SRR18970818,2022-03-29,FDA Center for Food Safety and Applied Nutrition,106596,32757,684X,9,361,0,1,19.0,19.0,625,625,32232,1941,0,30.24,1.82,0.00,not_performed,None
SRR18970819,2022-03-29,FDA Center for Food Safety and Applied Nutrition,85173,39313,830X,269,1175,0,3,19.2,19.2,632,632,38697,1837,0,45.43,2.16,0.00,not_performed,None
SRR18970820,2022-01-27,FDA Center for Food Safety and Applied Nutrition,402851,378627,7926X,8,74,0,0,19.4,19.4,626,626,372516,4749,0,92.47,1.18,0.00,not_performed,None
SRR18971013,2021-12-14,FDA Center for Food Safety and Applied Nutrition,4251574,2863252,28533X,2665,14017,8,46,34.8,35.0,298,298,1498686,8531,4080,70.50,0.40,0.19,not_performed,None
SRR18971025,2021-12-14,FDA Center for Food Safety and Applied Nutrition,3624590,3079473,29967X,1718,11116,5,37,35.3,35.5,291,291,1594382,9943,314,87.98,0.55,0.02,not_performed,None
SRR18971026,2021-12-21,FDA Center for Food Safety and Applied Nutrition,9600830,6718618,66730X,2510,5680,8,18,35.2,35.4,297,297,3564325,46624,611,74.25,0.97,0.01,not_performed,None
SRR18971038,2021-12-21,FDA Center for Food Safety and Applied Nutrition,6529062,2244548,22368X,738,10747,2,35,35.3,35.5,298,298,1233025,13570,1123,37.77,0.42,0.03,not_performed,None
SRR18996836,2022-02-16,Pennsylvania State University|Dudley Lab,3573584,549810,4614X,7742,9872,25,33,34.5,35.9,251,251,360595,10928,66571,20.18,0.61,3.73,not_performed,None
SRR19071535,2022-04-13,Washington State Department of Health,656340,484274,2413X,79,178,0,0,38.0,38.1,149,149,256155,6044,49743,78.06,1.84,15.16,not_performed,None
SRR19071536,2022-04-13,Washington State Department of Health,977138,673405,3355X,286,381,0,1,37.9,38.0,149,149,350864,3063,112763,71.81,0.63,23.08,not_performed,None
SRR19071537,2022-04-13,Washington State Department of Health,1322058,920600,4587X,67,211,0,0,38.0,38.1,149,149,487021,13243,142659,73.68,2.00,21.58,not_performed,None
SRR19071538,2022-04-12,Washington State Department of Health,1094974,620625,3092X,1750,2136,5,7,37.9,38.0,149,149,342487,28701,113219,62.56,5.24,20.68,not_performed,None
SRR19071539,2022-03-31,Washington State Department of Health,571820,145572,725X,12847,15014,42,50,38.0,38.1,149,149,104279,47847,83952,36.47,16.73,29.36,not_performed,None
SRR19071540,2022-04-01,Washington State Department of Health,658522,411946,2052X,399,462,1,1,37.9,38.0,149,149,218244,3309,93762,66.28,1.00,28.48,not_performed,None
